deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraDepth,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments,trap_nights,raw_label,cam_label,treatment
0b526d60-29d5-48a7-a100-73d9c6d605b9,4244d6a5-6f0c-4e87-b479-235fb2b66e27,Bwindi - F09,-1.081549,29.811123,NA,2026-02-02T09:37:19Z,2026-03-14T07:24:55Z,NA,a66639be-77a2-4dbe-b69b-58dd6fc4c4f2,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F09,39.908055555555556,F09,F09,Roadside
0bab06fb-e3d8-4af4-9fca-5c25f2d6cc3b,4a5a65e5-dee3-4254-b56b-eda8acd65e9c,Bwindi - C14,-1.09252,29.816466,NA,2026-02-03T11:58:29Z,2026-03-15T11:41:13Z,NA,89c6fa68-a332-49c7-94e1-d469c4cc5b3e,-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C14,39.98800925925926,C14,C14,Interior
19142a34-9643-408c-a733-d0a727791ed3,86bbadd0-d351-496e-8f39-b5fe2416716e,Bwindi - F14 (105),-1.096807,29.805013,NA,2026-03-14T09:15:38Z,2026-03-14T10:16:01Z,NA,bcf9adb7-83b2-496f-a67d-00a7e7ceead8,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F14,0.04193287037037037,F14 (105),F14,Roadside
198674ee-c82f-4418-8331-11efb99c8366,7b9034f7-b0ea-4c8f-9532-2ed9de728400,Bwindi - C09,-1.074645,29.81086,NA,2026-02-09T09:41:09Z,2026-03-20T09:28:07Z,NA,61d2fd45-b081-49a0-ad99-ab1a52e2533f,-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C09,38.990949074074074,C09,C09,Interior
19b49c89-bf09-4610-b29b-78871fe2aa68,a8963749-91ad-4333-8329-d68c133f868f,Bwindi - F10,-1.083583,29.8104,NA,2026-02-02T11:50:20Z,2026-03-14T09:29:23Z,NA,6de191ba-c70e-4fe9-bc31-83f13fa29d54,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.902118055555555,F10,F10,Roadside
257b2318-792c-45e7-8a19-603894584a98,3837ac35-50bd-40b3-94d0-967efde2e360,Bwindi - F13 (101),-1.093285,29.805872,NA,2026-02-02T12:59:19Z,2026-02-12T11:31:11Z,NA,319753b0-94d0-4e77-9e30-78b0f2db7ad2,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.938796296296296,F13 (101),F13,Roadside
280cbc18-b11e-4c18-ad39-b2f0e1ca98fa,7e82c1fc-c518-4a19-8cd5-00b21afb608e,Bwindi - F05 (104),-1.068169,29.796316,NA,2026-03-15T08:32:22Z,2026-03-22T09:55:14Z,NA,49de4177-783b-4320-aa6e-38e6cb0dc51e,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infared didn't work so camera went back up for two weeks,7.057546296296296,F05 (104),F05,Roadside
2d8c50fe-ffc7-49b0-af83-8ce83ea21a52,4cf1e3d1-cbd4-4ec7-8731-fc32ade4bf8d,Bwindi - C02,-1.065993,29.77983,NA,2026-02-05T10:21:30Z,2026-03-17T09:30:03Z,NA,0dfa6d83-5683-40dd-9f0a-d3ea4b45771c,Recoynx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C02,39.96427083333333,C02,C02,Interior
320a106c-5d28-4214-8b52-0f58a45f5671,b293d5d6-f1e6-4dbe-ad20-3e6a42d74262,Bwindi - C18,-1.072496,29.791403,NA,2026-02-09T11:38:55Z,2026-03-19T11:15:02Z,NA,a972cc52-68db-47d0-99ea-13558a969b12,-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.98341435185185,C18,C18,Interior
3909dfe8-2e4e-4dd5-b5c5-ab3c3d7e3fc7,a34c6b64-6ba3-4a5d-a260-b8249ae356d2,Bwindi - C12,-1.057845,29.770088,NA,2026-02-04T11:44:33Z,2026-03-16T10:06:57Z,NA,8d8b230d-4982-4d18-9dfa-03a213c562fd,Recoynx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C12,39.93222222222222,C12,C12,Interior
43c5f10d-2e1d-4eee-a06c-dac2d34b4c30,1f3c9c92-a772-4ed8-b576-da46cf9877d0,Bwindi - C16,-1.055257,29.772001,NA,2026-02-04T10:54:11Z,2026-03-16T09:29:44Z,NA,e2d1c1c5-e66e-427e-ba0d-940092d83a84,-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C16,39.94135416666666,C16,C16,Interior
441f22a0-cc7c-4161-b51c-6671d370dc66,362a03cc-4e5d-4c78-bde1-7fd72a4d3789,Bwindi - F17 (105),-1.100515,29.811725,NA,2026-03-12T16:09:52Z,2026-03-14T10:44:46Z,NA,06aed461-4063-4ff3-be18-13f31751fa9f,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7742361111111111,F17 (105),F17,Roadside
45d1d16a-5046-4ca4-a938-d78de04792c2,c9418603-1919-4f6e-99fe-e964096945a6,Bwindi - F08,-1.078647,29.808081,NA,2026-02-02T11:20:01Z,2026-03-14T09:16:48Z,NA,4ec01e97-2f68-4b49-8187-be85e4ff2909,-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F08,39.91443287037037,F08,F08,Roadside
49682ba6-c663-4991-8098-b916dd54217a,17b9fa8d-ca41-4f3f-bcbb-1118963713af,Bwindi - F13 (103),-1.093285,29.805872,NA,2026-02-23T17:49:06Z,2026-03-08T21:39:53Z,NA,319753b0-94d0-4e77-9e30-78b0f2db7ad2,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.160266203703705,F13 (103),F13,Roadside
4ddffced-8370-46da-bd92-0e826ef369ab,156c5066-4200-4086-b871-baf23fbc8220,Bwindi - C15,-1.053631,29.774588,NA,2026-02-04T09:54:00Z,2026-03-16T08:59:55Z,NA,222c4485-51ff-4448-8c80-6045fd2ccd97,Recoynx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C15,39.96244212962963,C15,C15,Interior
4f73c34a-92c9-4b49-8257-ce6975d1c5b7,27fe7132-5170-45cb-940c-36ae018210ca,Bwindi - F11 (102),-1.088194,29.81106,NA,2026-02-12T11:02:02Z,2026-02-22T17:31:29Z,NA,f4cef494-70a9-40c9-82e6-7952205e6879,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.270451388888889,F11 (102),F11,Roadside
5741b4a9-976c-4fe5-b62f-14175299d922,bbe0f334-87f3-41af-ab91-d939ca444135,Bwindi - F07,-1.074679,29.801967,NA,2026-02-02T11:00:05Z,2026-03-14T09:09:35Z,NA,29dba7bc-d89a-4dc4-a3cd-bd1193b86c00,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F07,39.92326388888889,F07,F07,Roadside
5875b02c-530c-4747-af7e-0340b38563b9,3496626a-ed38-4b42-ab18-37324c65f506,Bwindi - F05 (106),-1.068169,29.796316,NA,2026-03-29T09:25:37Z,2026-03-29T14:11:34Z,NA,49de4177-783b-4320-aa6e-38e6cb0dc51e,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IR did not work for first deployment,0.1985763888888889,F05 (106),F05,Roadside
5cfd4176-28ff-4503-9c34-ebe83704b229,76ba8dad-475b-4179-8097-64c27f90b2ef,Bwindi - F02,-1.062244,29.781895,NA,2026-02-02T09:18:22Z,2026-03-14T08:42:32Z,NA,89f2f231-0b37-4584-8da0-24fd207886a8,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F02,39.97511574074074,F02,F02,Roadside
5ff2a2bd-d097-4753-a856-9cc6606729ae,49f10243-86c3-4028-aeec-20bb1ddf1f66,Bwindi - F15 (101),-1.097717,29.807793,NA,2026-02-02T13:45:22Z,2026-02-10T16:28:47Z,NA,29f92959-24b9-4f09-8e41-a4d72a9e0ac7,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.113483796296297,F15 (101),F15,Roadside
60955ba1-c274-4f00-ba34-871cff1abe94,82559c7d-f83f-4956-92b2-6695149a71a1,Bwindi - C13,-1.067256,29.774903,NA,2026-02-06T09:27:15Z,2026-03-17T17:46:58Z,NA,e7d686c1-2412-4fb8-9210-1b4495204ab9,-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C13,39.34702546296296,C13,C13,Interior
610a423f-ecd4-443b-9f44-b4030abf55f4,2a740bf2-4625-41c6-a172-d52af9ff6ae5,Bwindi - F17 (101),-1.100515,29.811725,NA,2026-02-03T08:58:04Z,2026-02-11T10:43:06Z,NA,bcf9adb7-83b2-496f-a67d-00a7e7ceead8,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.072939814814815,F17 (101),F17,Roadside
6a09b898-9cf1-4e13-b96a-741a7c17b633,974a98a9-2ab6-4752-aece-fd0fdafe6e16,Bwindi - C10,-1.071112,29.81086,NA,2026-02-05T12:28:47Z,2026-03-17T10:43:01Z,NA,7d7bad65-2044-427f-a015-0ce5cf994c63,-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C10,39.92655092592592,C10,C10,Interior
